WT_ID,Ticker,Company,Exchange,Country,Universe_Group,Business_Stage,Quality_Tier,Primary_Theme,Secondary_Theme,Economic_Exposure,Pool,Universe_Status,Hard_Filter_Status,Date_Added,Last_Review,Reason_for_Inclusion
WT-0064,TDG,TransDigm Group,NYSE,US,"Aerospace, Defense & Space",Growth,S,Aerospace Components,Aftermarket,Commercial flight hours and aircraft fleet growth,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Exceptional aerospace aftermarket economics and pricing power.
WT-0065,RKLB,Rocket Lab,NASDAQ,US,"Aerospace, Defense & Space",Emerging,C,Space Systems,Launch Services,Commercial and government space spending,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Integrated space company with launch and systems optionality.
WT-0066,ASTS,AST SpaceMobile,NASDAQ,US,"Aerospace, Defense & Space",Emerging,C,Satellite Communications,Direct-to-Device,Satellite deployment and telecom partnerships,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-upside direct-to-device network with substantial execution risk.
WT-0067,ACHR,Archer Aviation,NYSE,US,"Aerospace, Defense & Space",Emerging,C,Advanced Air Mobility,Electric Aircraft,Certification and urban-air-mobility adoption,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Pre-commercial mobility option with certification and funding risk.
WT-0068,XOM,Exxon Mobil,NYSE,US,"Energy, Utilities & Infrastructure",Mature,S,Integrated Energy,LNG & Chemicals,"Oil, gas and refining margins",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Scaled integrated energy leader with capital discipline.
WT-0069,CVX,Chevron,NYSE,US,"Energy, Utilities & Infrastructure",Mature,S,Integrated Energy,LNG,"Oil, gas and project execution",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-quality integrated energy exposure and strong balance sheet.
WT-0070,COP,ConocoPhillips,NYSE,US,"Energy, Utilities & Infrastructure",Mature,A,Exploration & Production,LNG,Oil and gas prices,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Large low-cost upstream portfolio with shareholder returns.
WT-0071,NEE,NextEra Energy,NYSE,US,"Energy, Utilities & Infrastructure",Mature,A,Utilities,Renewable Power,"Power demand, rates and grid investment",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Quality utility plus renewable-development platform.
WT-0072,CEG,Constellation Energy,NASDAQ,US,"Energy, Utilities & Infrastructure",Growth,A,Nuclear Power,Clean Electricity,Power prices and data-center electricity demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Largest US nuclear fleet with clean-power scarcity value.
WT-0073,VST,Vistra,NYSE,US,"Energy, Utilities & Infrastructure",Growth,A,Power Generation,Nuclear & Retail Energy,Power prices and electricity demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Diversified generator benefiting from tightening power markets.
WT-0074,WMB,Williams Companies,NYSE,US,"Energy, Utilities & Infrastructure",Mature,A,Energy Infrastructure,Natural Gas Pipelines,US natural-gas demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Critical gas infrastructure with fee-based cash flows.
WT-0075,OKLO,Oklo,NYSE,US,"Energy, Utilities & Infrastructure",Emerging,C,Advanced Nuclear,Small Modular Reactors,"Licensing, project finance and power demand",Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-risk advanced-nuclear option linked to future power scarcity.
WT-0076,COST,Costco Wholesale,NASDAQ,US,Consumer & Retail,Mature,S,Membership Retail,Consumer Staples,Consumer spending and membership retention,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Elite retail model with recurring membership economics.
WT-0077,WMT,Walmart,NYSE,US,Consumer & Retail,Mature,S,Omnichannel Retail,Consumer Staples,Consumer spending and grocery demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Scale leader with improving digital and advertising mix.
WT-0078,HD,Home Depot,NYSE,US,Consumer & Retail,Mature,S,Home Improvement,Housing,Housing turnover and repair spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Dominant home-improvement franchise with strong cash generation.
WT-0079,MELI,MercadoLibre,NASDAQ,Uruguay,Consumer & Retail,Growth,S,E-commerce Platform,Digital Payments,Latin American consumption and fintech adoption,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Leading commerce and fintech ecosystem in Latin America.
WT-0080,BKNG,Booking Holdings,NASDAQ,US,Consumer & Retail,Growth,S,Online Travel,Digital Platform,Travel demand and cross-border activity,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-margin global travel marketplace.
WT-0081,CMG,Chipotle Mexican Grill,NYSE,US,Consumer & Retail,Growth,A,Restaurants,Consumer Growth,Dining traffic and unit expansion,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,"Strong brand, unit economics and long runway."
WT-0082,DUOL,Duolingo,NASDAQ,US,Consumer & Retail,Emerging,B,Consumer Education,Subscription Apps,Consumer subscription demand,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-engagement learning platform with premium valuation risk.
WT-0083,CAVA,CAVA Group,NYSE,US,Consumer & Retail,Emerging,C,Restaurants,Consumer Growth,Dining traffic and store expansion,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Rapid unit-growth concept with execution and valuation risk.
WT-0084,NFLX,Netflix,NASDAQ,US,Communication & Digital Media,Growth,S,Streaming Media,Advertising,Consumer entertainment spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Global streaming scale with improving monetization.
WT-0085,SPOT,Spotify Technology,NYSE,Luxembourg,Communication & Digital Media,Growth,A,Audio Streaming,Creator Platform,Subscription and advertising demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Category leader with improving margins and pricing power.
WT-0086,TTD,The Trade Desk,NASDAQ,US,Communication & Digital Media,Growth,A,Advertising Technology,Connected TV,Digital advertising budgets,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Independent demand-side platform with CTV exposure.
WT-0087,DIS,Walt Disney,NYSE,US,Communication & Digital Media,Mature,A,Media & Entertainment,Experiences,Consumer leisure and advertising,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Unique content and parks assets with turnaround optionality.
WT-0088,RDDT,Reddit,NYSE,US,Communication & Digital Media,Emerging,C,Social Platform,Digital Advertising,Online engagement and advertising demand,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Fast-growing community platform with monetization upside and platform risk.
WT-0089,UBER,Uber Technologies,NYSE,US,Transportation & Logistics,Growth,A,Mobility Platform,Delivery,Urban mobility and consumer spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Scaled network platform with improving cash generation.
WT-0090,FDX,FedEx,NYSE,US,Transportation & Logistics,Mature,A,Logistics,Express Delivery,Global trade and parcel volumes,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Global logistics network with restructuring upside.
WT-0091,UPS,United Parcel Service,NYSE,US,Transportation & Logistics,Mature,A,Logistics,Parcel Delivery,Global trade and parcel volumes,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-quality network with cyclical volume sensitivity.
WT-0092,JOBY,Joby Aviation,NYSE,US,Transportation & Logistics,Emerging,C,Advanced Air Mobility,Electric Aircraft,Certification and mobility adoption,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Pre-commercial option on electric air mobility with funding risk.
WT-0093,TSLA,Tesla,NASDAQ,US,Frontier Technology,Growth,A,Electric Mobility,Energy Storage & AI,"EV demand, autonomy and energy storage",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Large-scale EV and energy platform with major execution dispersion.
WT-0094,FSLR,First Solar,NASDAQ,US,Frontier Technology,Growth,A,Solar Manufacturing,Clean Energy,Utility-scale solar demand and policy,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Differentiated US solar manufacturer with contracted backlog.
WT-0095,AXON,Axon Enterprise,NASDAQ,US,Frontier Technology,Growth,A,Public Safety Technology,Cloud Software,Public-safety budgets,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-retention hardware-software ecosystem with long runway.
WT-0096,IONQ,IonQ,NYSE,US,Frontier Technology,Emerging,C,Quantum Computing,Frontier Computing,Research adoption and commercialization milestones,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-risk pure-play quantum exposure with long-duration optionality.
