WT_ID,Ticker,Business_Model_Module,Production_Supported,Reason
WT-0076,COST,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0077,WMT,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0078,HD,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0079,MELI,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0080,BKNG,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0081,CMG,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0082,DUOL,PRE_PROFIT,TRUE,Standard metrics plus mandatory cash-runway rule when FCF is negative.
WT-0083,CAVA,PRE_PROFIT,TRUE,Standard metrics plus mandatory cash-runway rule when FCF is negative.
WT-0084,NFLX,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0085,SPOT,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0086,TTD,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0087,DIS,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0088,RDDT,PRE_PROFIT,TRUE,Standard metrics plus mandatory cash-runway rule when FCF is negative.
WT-0089,UBER,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0090,FDX,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0091,UPS,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0092,JOBY,PRE_PROFIT,TRUE,Standard metrics plus mandatory cash-runway rule when FCF is negative.
WT-0093,TSLA,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0094,FSLR,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0095,AXON,STANDARD_CORPORATE,TRUE,Standard corporate scoring module.
WT-0096,IONQ,PRE_PROFIT,TRUE,Standard metrics plus mandatory cash-runway rule when FCF is negative.
